airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total,average_delay_time,hours_delayed_total,weather_delay
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,2005.0,35048,,1109.10407239819,4598,10,448,8355,116423.0,104415,207467.0,297,36931,465533,55.71909036505087,7758.883333333333,3769.4312217194574
DEN,"Denver, CO: Denver International",January,2005.0,12687,1041,928.0,935,11,233,3153,53537.0,70301,36817.0,363,21779,182797,57.9755788138281,3046.616666666667,1119.15
IAD,"Washington, DC: Washington Dulles International",January,2005.0,12381,414,1058.0,895,4,61,2430,,70919,35660.0,208,4497,134881,55.50658436213992,2248.016666666667,960.15
ORD,"Chicago, IL: Chicago O'Hare International",January,2005.0,28194,1197,2255.0,5415,5,306,9178,88691.0,160811,364382.0,151,24859,638894,69.61146219219873,10648.233333333334,4502.25
SAN,"San Diego, CA: San Diego International",January,2005.0,7283,572,680.0,638,7,56,1952,27436.0,38445,21127.0,218,4326,91552,46.90163934426229,1525.8666666666666,674.7
SFO,"San Francisco, CA: San Francisco International",January,2005.0,10274,798,733.0,1166,7,114,2816,41570.0,47705,60380.0,247,7373,157275,55.85049715909091,2621.25,1091.8
SLC,"Salt Lake City, UT: Salt Lake City International",January,2005.0,12000,817,564.0,864,13,270,2525,36252.0,30557,35977.0,327,27219,130332,51.616633663366336,2172.2,1000.8
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",February,2005.0,33702,1288,1109.10407239819,6104,2,399,9195,86876.0,86698,321969.0,36,31944,527523,57.37063621533442,8792.05,4699.331221719457
DEN,"Denver, CO: Denver International",February,2005.0,11480,729,432.0,581,4,42,1788,33205.0,26228,16864.0,271,2781,79349,44.378635346756155,1322.4833333333333,549.25
IAD,"Washington, DC: Washington Dulles International",February,2005.0,10042,284,631.0,691,4,28,1639,15573.0,39840,,169,1359,78878,48.12568639414277,1314.6333333333334,666.45
ORD,"Chicago, IL: Chicago O'Hare International",February,2005.0,25665,794,1222.0,3132,6,114,5269,50136.0,72868,164398.0,208,7256,294866,55.96242171189979,4914.433333333333,2516.4
SAN,"San Diego, CA: San Diego International",February,2005.0,6543,447,491.0,671,1,23,1635,21755.0,28887,20705.0,44,1285,72676,44.45015290519878,1211.2666666666667,606.45
SFO,"San Francisco, CA: San Francisco International",February,2005.0,9327,599,457.0,1010,0,57,2122,30760.0,27302,,6,3178,110995,52.30678605089538,1849.9166666666667,850.6
SLC,"Salt Lake City, UT: Salt Lake City International",February,2005.0,12404,645,463.0,752,10,79,1947,32336.0,23087,24544.0,293,4614,84874,43.592193117616844,1414.5666666666666,706.6999999999999
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,2005.0,37806,1462,1109.10407239819,5697,11,423,9431,,150766,396191.0,568,33379,691887,73.36305800021206,11531.45,4458.781221719457
DEN,"Denver, CO: Denver International",March,2005.0,12979,852,586.0,530,9,85,2062,40782.0,35283,15775.0,351,5265,97456,47.262851600387975,1624.2666666666667,605.3
IAD,"Washington, DC: Washington Dulles International",March,2005.0,11249,372,724.0,777,5,43,1921,20587.0,53667,27186.0,459,3505,105404,54.869338885996875,1756.7333333333333,765.25
ORD,"Chicago, IL: Chicago O'Hare International",March,2005.0,28785,1026,1665.0,3686,9,159,6544,65241.0,103993,178333.0,457,11672,359696,54.965770171149146,5994.933333333333,3054.4
SAN,"San Diego, CA: San Diego International",March,2005.0,7298,464,489.0,343,3,27,1324,19643.0,24033,9515.0,112,1323,54626,41.2583081570997,910.4333333333333,396.65
SFO,"San Francisco, CA: San Francisco International",March,2005.0,10532,714,455.0,923,3,54,2148,35374.0,27922,51401.0,118,3802,118617,55.22206703910614,1976.95,790.45
SLC,"Salt Lake City, UT: Salt Lake City International",March,2005.0,14115,878,614.0,820,15,102,2426,38323.0,27635,31907.0,606,4760,103231,42.55193734542457,1720.5166666666667,819.2
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,,36881,1283,1109.10407239819,2734,6,316,5748,87994.0,104417,173772.0,295,30566,397044,69.07515657620041,6617.4,1742.331221719457
DEN,"Denver, CO: Denver International",April,2005.0,12275,627,350.0,440,2,57,1476,31124.0,19422,13945.0,44,4215,68750,46.578590785907856,1145.8333333333333,338.0
IAD,"Washington, DC: Washington Dulles International",April,2005.0,10997,275,517.0,677,3,32,1508,14163.0,32723,30587.0,245,2344,80062,53.09151193633952,1334.3666666666666,457.9
ORD,"Chicago, IL: Chicago O'Hare International",April,2005.0,27634,811,980.0,1900,5,93,3786,50443.0,53496,,186,5791,188222,49.71526677231907,3137.0333333333333,1147.0
SAN,"San Diego, CA: San Diego International",April,2005.0,7091,364,369.0,343,2,15,1095,15602.0,15994,10015.0,59,792,42462,38.778082191780825,707.7,262.90000000000003
SFO,"San Francisco, CA: San Francisco International",April,2005.0,10210,532,339.0,563,9,29,1470,26083.0,19990,25118.0,342,1564,73097,49.725850340136056,1218.2833333333333,355.90000000000003
SLC,"Salt Lake City, UT: Salt Lake City International",April,2005.0,13398,590,382.0,528,8,42,1546,26829.0,17311,16667.0,220,2063,63090,40.808538163001295,1051.5,367.8
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2005.0,38076,1201,1195.0,3134,3,278,5813,82828.0,79428,155827.0,74,20017,338174,58.175468776879406,5636.233333333334,1890.1000000000001
DEN,"Denver, CO: Denver International",May,2005.0,16211,764,668.0,694,0,50,2174,37884.0,38015,22509.0,0,3730,102138,46.98160073597056,1702.3,528.0
IAD,"Washington, DC: Washington Dulles International",May,2005.0,11189,285,649.0,1049,3,36,2020,15838.0,40615,34597.0,70,2591,93711,46.39158415841584,1561.85,650.3
ORD,"Chicago, IL: Chicago O'Hare International",May,2005.0,28523,861,1375.0,2833,3,123,5195,57526.0,98770,169823.0,123,9667,335909,64.66005774783446,5598.483333333334,1668.7
SAN,"San Diego, CA: San Diego International",May,2005.0,7512,411,383.0,284,3,38,1117,17815.0,17289,9276.0,77,3126,47583,42.59892569382274,793.05,266.5
SFO,"San Francisco, CA: San Francisco International",May,2005.0,10954,577,438.0,1158,1,45,2217,28810.0,27188,63563.0,81,3237,122879,55.42580063148399,2047.9833333333333,639.6
SLC,"Salt Lake City, UT: Salt Lake City International",May,2005.0,13822,601,371.0,454,4,53,1480,29853.0,17377,14517.0,76,3133,64956,43.88918918918919,1082.6,345.90000000000003
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2005.0,37209,,1109.10407239819,6892,9,479,10986,119455.0,134768,343189.0,390,32914,630716,57.41088658292372,10511.933333333332,3568.5312217194573
DEN,"Denver, CO: Denver International",June,2005.0,16953,1058,1118.0,993,4,137,3310,57649.0,74824,40437.0,122,10065,183097,55.31631419939577,3051.616666666667,869.6
IAD,"Washington, DC: Washington Dulles International",June,2005.0,10743,425,1040.0,1392,3,64,2926,26398.0,88487,75609.0,65,5726,196285,67.08304853041695,3271.4166666666665,932.8000000000001
ORD,"Chicago, IL: Chicago O'Hare International",June,2005.0,27756,1374,2329.0,3726,4,210,7643,92424.0,165364,205599.0,139,16946,480472,62.864320293078634,8007.866666666667,2399.1
SAN,"San Diego, CA: San Diego International",June,2005.0,7574,573,604.0,440,4,43,1661,26938.0,32680,15883.0,200,2974,78675,47.366044551475014,1311.25,400.2
SFO,"San Francisco, CA: San Francisco International",June,2005.0,11089,876,737.0,1288,5,71,2978,48831.0,47574,56454.0,208,5393,158460,53.2102081934184,2641.0,807.3000000000001
SLC,"Salt Lake City, UT: Salt Lake City International",June,2005.0,13860,788,642.0,670,7,95,2203,37008.0,31149,,162,5223,98063,44.51339083068543,1634.3833333333334,555.6
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",July,,37584,,1109.10407239819,8704,14,466,13699,156293.0,219063,574857.0,678,38476,989367,72.22184101029272,16489.45,4280.331221719457
DEN,"Denver, CO: Denver International",July,2005.0,17989,1195,1141.0,863,3,121,3323,67702.0,78077,32694.0,124,8515,187112,56.30815528137225,3118.5333333333333,808.5
IAD,"Washington, DC: Washington Dulles International",July,2005.0,11152,442,1170.0,1548,7,79,3245,27971.0,97189,86274.0,217,6752,218403,67.304468412943,3640.05,1049.2
ORD,"Chicago, IL: Chicago O'Hare International",July,2005.0,28283,,2241.0,3547,9,213,7641,121159.0,181764,237346.0,443,17190,557902,73.01426514854077,9298.366666666667,2304.1000000000004
SAN,"San Diego, CA: San Diego International",July,2005.0,7862,664,675.0,359,2,70,1769,33005.0,39105,14402.0,57,4912,91481,51.71339739966083,1524.6833333333334,416.1
SFO,"San Francisco, CA: San Francisco International",July,2005.0,11579,896,723.0,826,5,93,2548,49421.0,50665,39209.0,128,6918,146341,57.433673469387756,2439.016666666667,640.3000000000001
SLC,"Salt Lake City, UT: Salt Lake City International",July,2005.0,14472,809,733.0,606,8,101,2257,39224.0,38201,22061.0,171,6457,106114,47.01550731058928,1768.5666666666666,563.3
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,2005.0,37886,,1109.10407239819,8440,11,381,12861,140274.0,154147,487160.0,459,28593,810633,63.03032423606251,13510.55,4089.731221719457
